date,golongan,target_vaksinasi,vaksinasi_1,vaksinasi_2,persentase_v1,persentase_v2,harian_vaksinasi_1,harian_vaksinasi_2
5 March 2021,Tenaga Kesehatan,112301,141425,91078,125.90%,81.10%,0,0
6 March 2021,Tenaga Kesehatan,112301,144046,91379,128.30%,81.40%,2621,301
7 March 2021,Tenaga Kesehatan,112301,177126,91460,157.70%,81.40%,33080,81
8 March 2021,Tenaga Kesehatan,112301,181237,92988,161.40%,82.80%,4111,1528
9 March 2021,Tenaga Kesehatan,112301,113326,89984,100.90%,80.10%,0,0
10 March 2021,Tenaga Kesehatan,112301,116791,90681,104.00%,80.70%,3465,697
11 March 2021,Tenaga Kesehatan,112301,116823,90693,104.00%,80.80%,32,12
12 March 2021,Tenaga Kesehatan,112301,118086,91521,105.20%,81.50%,1263,828
13 March 2021,Tenaga Kesehatan,112301,118283,91748,105.30%,81.70%,197,227
14 March 2021,Tenaga Kesehatan,112301,118301,91764,105.30%,81.70%,18,16
15 March 2021,Tenaga Kesehatan,112301,118983,92579,106.00%,82.40%,682,815
16 March 2021,Tenaga Kesehatan,112301,119531,93559,106.40%,83.30%,548,980
17 March 2021,Tenaga Kesehatan,112301,120003,94619,106.90%,84.30%,472,1060
18 March 2021,Tenaga Kesehatan,112301,120608,99980,107.40%,89.00%,605,5361
19 March 2021,Tenaga Kesehatan,112301,121260,97465,108.00%,86.80%,652,0
20 March 2021,Tenaga Kesehatan,112301,121373,97612,108.10%,86.90%,113,147
21 March 2021,Tenaga Kesehatan,112301,121483,97660,108.20%,87.00%,110,48
22 March 2021,Tenaga Kesehatan,112301,121834,98956,108.50%,88.10%,351,1296
23 March 2021,Tenaga Kesehatan,112301,122199,100218,108.80%,89.20%,365,1262
24 March 2021,Tenaga Kesehatan,112301,122616,101248,109.20%,90.20%,417,1030
25 March 2021,Tenaga Kesehatan,112301,122916,101602,109.50%,90.50%,300,354
26 March 2021,Tenaga Kesehatan,112301,123199,102584,109.70%,91.30%,283,982
27 March 2021,Tenaga Kesehatan,112301,123199,102672,109.70%,91.40%,0,88
28 March 2021,Tenaga Kesehatan,112301,123199,102692,109.70%,91.40%,0,20
29 March 2021,Tenaga Kesehatan,112301,123199,103537,109.70%,92.20%,0,845
30 March 2021,Tenaga Kesehatan,112301,123199,104246,109.70%,92.80%,0,709
31 March 2021,Tenaga Kesehatan,112301,123199,104773,109.70%,93.30%,0,527
1 April 2021,Tenaga Kesehatan,112301,124396,107368,110.80%,95.60%,1197,2595
2 April 2021,Tenaga Kesehatan,112301,124396,107368,110.80%,95.60%,0,0
3 April 2021,Tenaga Kesehatan,112301,121845,105485,108.50%,93.90%,0,0
4 April 2021,Tenaga Kesehatan,112301,121850,105514,108.50%,94.00%,5,29
5 April 2021,Tenaga Kesehatan,112301,122092,106037,108.70%,94.40%,242,523
6 April 2021,Tenaga Kesehatan,112301,122326,106437,108.90%,94.80%,234,400
7 April 2021,Tenaga Kesehatan,112301,122553,106800,109.10%,95.10%,227,363
8 April 2021,Tenaga Kesehatan,112301,123061,107175,109.60%,95.40%,508,375
9 April 2021,Tenaga Kesehatan,112301,123387,107509,109.90%,95.70%,326,334
10 April 2021,Tenaga Kesehatan,112301,123474,107573,109.90%,95.80%,87,64
11 April 2021,Tenaga Kesehatan,112301,123485,107583,110.00%,95.80%,11,10
12 April 2021,Tenaga Kesehatan,112301,123958,107968,110.40%,96.10%,473,385
13 April 2021,Tenaga Kesehatan,112301,124255,108205,110.60%,96.40%,297,237
14 April 2021,Tenaga Kesehatan,112301,124484,108418,110.80%,96.50%,229,213
15 April 2021,Tenaga Kesehatan,112301,124755,108761,111.10%,96.80%,271,343
16 April 2021,Tenaga Kesehatan,112301,125148,109038,111.40%,97.10%,393,277
17 April 2021,Tenaga Kesehatan,112301,125188,109105,111.50%,97.20%,40,67
18 April 2021,Tenaga Kesehatan,112301,125193,109105,111.50%,97.20%,5,0
19 April 2021,Tenaga Kesehatan,112301,125459,109299,111.70%,97.30%,266,194
20 April 2021,Tenaga Kesehatan,112301,125568,109421,111.80%,97.40%,109,122
21 April 2021,Tenaga Kesehatan,112301,125808,109615,112.00%,97.60%,240,194
22 April 2021,Tenaga Kesehatan,112301,126323,109990,112.50%,97.90%,515,375
23 April 2021,Tenaga Kesehatan,112301,126594,110213,112.70%,98.10%,271,223
24 April 2021,Tenaga Kesehatan,112301,126642,110273,112.80%,98.20%,48,60
25 April 2021,Tenaga Kesehatan,112301,126663,110297,112.80%,98.20%,21,24
26 April 2021,Tenaga Kesehatan,112301,126864,110554,113.00%,98.40%,201,257
27 April 2021,Tenaga Kesehatan,112301,127101,110788,113.20%,98.70%,237,234
28 April 2021,Tenaga Kesehatan,112301,127317,111063,113.40%,98.90%,216,275
29 April 2021,Tenaga Kesehatan,112301,127525,111399,113.60%,99.20%,208,336
30 April 2021,Tenaga Kesehatan,112301,127800,111554,113.80%,99.30%,275,155
1 May 2021,Tenaga Kesehatan,112301,127812,111574,113.80%,99.40%,12,20
2 May 2021,Tenaga Kesehatan,112301,127813,111576,113.80%,99.40%,1,2
3 May 2021,Tenaga Kesehatan,112301,128009,111795,114.00%,99.50%,196,219
4 May 2021,Tenaga Kesehatan,112301,128375,112125,114.30%,99.80%,366,330
5 May 2021,Tenaga Kesehatan,112301,128537,112434,114.50%,100.10%,162,309
6 May 2021,Tenaga Kesehatan,112301,128715,112784,114.60%,100.40%,178,350
7 May 2021,Tenaga Kesehatan,112301,128893,113107,114.80%,100.70%,178,323
8 May 2021,Tenaga Kesehatan,112301,128918,113180,114.80%,100.80%,25,73
9 May 2021,Tenaga Kesehatan,112301,128923,113187,114.80%,100.80%,5,7
10 May 2021,Tenaga Kesehatan,112301,129109,113552,115.00%,101.10%,186,365
11 May 2021,Tenaga Kesehatan,112301,129269,113898,115.10%,101.40%,160,346
12 May 2021,Tenaga Kesehatan,112301,129295,113947,115.10%,101.50%,26,49
13 May 2021,Tenaga Kesehatan,112301,129295,113948,115.10%,101.50%,0,1
14 May 2021,Tenaga Kesehatan,112301,129295,113948,115.10%,101.50%,0,0
15 May 2021,Tenaga Kesehatan,112301,129313,113974,115.10%,101.50%,18,26
16 May 2021,Tenaga Kesehatan,112301,129318,113982,115.20%,101.50%,5,8
17 May 2021,Tenaga Kesehatan,112301,129401,114352,115.20%,101.80%,83,370
18 May 2021,Tenaga Kesehatan,112301,129533,114701,115.30%,102.10%,132,349
19 May 2021,Tenaga Kesehatan,112301,129714,115004,115.50%,102.40%,181,303
20 May 2021,Tenaga Kesehatan,112301,129893,115301,115.70%,102.70%,179,297
21 May 2021,Tenaga Kesehatan,112301,130014,115625,115.80%,103.00%,121,324
22 May 2021,Tenaga Kesehatan,112301,130055,115679,115.80%,103.00%,41,54
23 May 2021,Tenaga Kesehatan,112301,130055,115685,115.80%,103.00%,0,6
24 May 2021,Tenaga Kesehatan,112301,130064,115709,115.80%,103.00%,9,24
25 May 2021,Tenaga Kesehatan,112301,130238,116082,116.00%,103.40%,174,373
26 May 2021,Tenaga Kesehatan,112301,130312,116230,116.00%,103.50%,74,148
27 May 2021,Tenaga Kesehatan,112301,130439,116619,116.20%,103.80%,127,389
28 May 2021,Tenaga Kesehatan,112301,133442,119578,118.80%,106.50%,3003,2959
29 May 2021,Tenaga Kesehatan,112301,133442,119578,118.80%,106.50%,0,0
30 May 2021,Tenaga Kesehatan,112301,133466,119600,118.80%,106.50%,24,22
31 May 2021,Tenaga Kesehatan,112301,133466,119600,118.80%,106.50%,0,0
1 June 2021,Tenaga Kesehatan,112301,133593,119829,119.00%,106.70%,127,229
2 June 2021,Tenaga Kesehatan,112301,133773,120240,119.10%,107.10%,180,411
3 June 2021,Tenaga Kesehatan,112301,135712,120240,120.80%,107.10%,1939,0
4 June 2021,Tenaga Kesehatan,112301,135712,120490,120.80%,107.30%,0,250
5 June 2021,Tenaga Kesehatan,112301,135712,120490,120.80%,107.30%,0,0
6 June 2021,Tenaga Kesehatan,112301,135728,120491,120.90%,107.30%,16,1
7 June 2021,Tenaga Kesehatan,112301,135728,120568,120.90%,107.40%,0,77
8 June 2021,Tenaga Kesehatan,112301,135728,120568,120.90%,107.40%,0,0
9 June 2021,Tenaga Kesehatan,112301,135728,120761,120.90%,107.50%,0,193
10 June 2021,Tenaga Kesehatan,112301,135728,120833,120.90%,107.60%,0,72
11 June 2021,Tenaga Kesehatan,112301,135728,120932,120.90%,107.70%,0,99
12 June 2021,Tenaga Kesehatan,112301,135728,120935,120.90%,107.70%,0,3
13 June 2021,Tenaga Kesehatan,112301,135728,120935,120.90%,107.70%,0,0
14 June 2021,Tenaga Kesehatan,112301,135728,120935,120.90%,107.70%,0,0
15 June 2021,Tenaga Kesehatan,112301,135728,120935,120.90%,107.70%,0,0
16 June 2021,Tenaga Kesehatan,112301,135728,120935,120.90%,107.70%,0,0
17 June 2021,Tenaga Kesehatan,112301,135728,120935,120.90%,107.70%,0,0
18 June 2021,Tenaga Kesehatan,112301,135728,120935,120.90%,107.70%,0,0
19 June 2021,Tenaga Kesehatan,112301,135728,120935,120.90%,107.70%,0,0
20 June 2021,Tenaga Kesehatan,112301,135728,121377,120.90%,108.10%,0,442
21 June 2021,Tenaga Kesehatan,112301,135728,121377,120.90%,108.10%,0,0
22 June 2021,Tenaga Kesehatan,112301,135728,121377,120.90%,108.10%,0,0
23 June 2021,Tenaga Kesehatan,112301,135728,121377,120.90%,108.10%,0,0
24 June 2021,Tenaga Kesehatan,112301,135728,121377,120.90%,108.10%,0,0
25 June 2021,Tenaga Kesehatan,112301,135728,121377,120.90%,108.10%,0,0
26 June 2021,Tenaga Kesehatan,112301,135728,121377,120.90%,108.10%,0,0
27 June 2021,Tenaga Kesehatan,112301,135728,121377,120.90%,108.10%,0,0
28 June 2021,Tenaga Kesehatan,112301,136733,121794,121.80%,108.50%,1005,417
29 June 2021,Tenaga Kesehatan,112301,136733,121794,121.80%,108.50%,0,0
30 June 2021,Tenaga Kesehatan,112301,136733,121794,121.80%,108.50%,0,0
1 July 2021,Tenaga Kesehatan,112301,136733,121794,121.80%,108.50%,0,0
2 July 2021,Tenaga Kesehatan,112301,136733,121794,121.80%,108.50%,0,0
3 July 2021,Tenaga Kesehatan,112301,136733,121794,121.80%,108.50%,0,0
4 July 2021,Tenaga Kesehatan,112301,136733,121794,121.80%,108.50%,0,0
5 July 2021,Tenaga Kesehatan,112301,136733,121794,121.80%,108.50%,0,0
6 July 2021,Tenaga Kesehatan,112301,136733,121794,121.80%,108.50%,0,0
7 July 2021,Tenaga Kesehatan,112301,136733,121794,121.80%,108.50%,0,0
8 July 2021,Tenaga Kesehatan,112301,136733,121794,121.80%,108.50%,0,0
9 July 2021,Tenaga Kesehatan,112301,136733,121794,121.80%,108.50%,0,0
10 July 2021,Tenaga Kesehatan,112301,136733,121794,121.80%,108.50%,0,0
11 July 2021,Tenaga Kesehatan,112301,136733,121794,121.80%,108.50%,0,0
12 July 2021,Tenaga Kesehatan,112301,136733,121794,121.80%,108.50%,0,0
13 July 2021,Tenaga Kesehatan,112301,136733,121794,121.80%,108.50%,0,0
14 July 2021,Tenaga Kesehatan,112301,136733,121794,121.80%,108.50%,0,0
15 July 2021,Tenaga Kesehatan,112301,136733,121794,121.80%,108.50%,0,0
16 July 2021,Tenaga Kesehatan,112301,136733,121794,121.80%,108.50%,0,0
17 July 2021,Tenaga Kesehatan,112301,136733,121794,121.80%,108.50%,0,0
18 July 2021,Tenaga Kesehatan,112301,136733,121794,121.80%,108.50%,0,0
19 July 2021,Tenaga Kesehatan,112301,136733,121794,121.80%,108.50%,0,0
20 July 2021,Tenaga Kesehatan,112301,136733,121794,121.80%,108.50%,0,0
21 July 2021,Tenaga Kesehatan,112301,136733,121794,121.80%,108.50%,0,0
22 July 2021,Tenaga Kesehatan,112301,136733,121794,121.80%,108.50%,0,0
23 July 2021,Tenaga Kesehatan,112301,136733,121794,121.80%,108.50%,0,0
24 July 2021,Tenaga Kesehatan,112301,141604,123670,126.10%,110.10%,4871,1876
25 July 2021,Tenaga Kesehatan,112301,141704,123789,126.20%,110.20%,100,119
26 July 2021,Tenaga Kesehatan,112301,141739,123811,126.20%,110.20%,35,22
27 July 2021,Tenaga Kesehatan,112301,141920,124084,126.40%,110.50%,181,273
28 July 2021,Tenaga Kesehatan,112301,142112,124297,126.50%,110.70%,192,213
29 July 2021,Tenaga Kesehatan,112301,142317,124541,126.70%,110.90%,205,244
30 July 2021,Tenaga Kesehatan,112301,142571,124864,127.00%,111.20%,254,323
31 July 2021,Tenaga Kesehatan,112301,142855,125273,127.20%,111.60%,284,409
1 August 2021,Tenaga Kesehatan,112301,142972,125395,127.30%,111.70%,117,122
2 August 2021,Tenaga Kesehatan,112301,143056,125439,127.40%,111.70%,84,44
3 August 2021,Tenaga Kesehatan,112301,143333,125814,127.60%,112.00%,277,375
4 August 2021,Tenaga Kesehatan,112301,143589,126105,127.90%,112.30%,256,291
5 August 2021,Tenaga Kesehatan,112301,143883,126483,128.10%,112.60%,294,378
6 August 2021,Tenaga Kesehatan,112301,143973,126651,128.20%,112.80%,90,168
7 August 2021,Tenaga Kesehatan,112301,144251,127046,128.50%,113.10%,278,395
8 August 2021,Tenaga Kesehatan,112301,144251,127046,128.50%,113.10%,0,0
9 August 2021,Tenaga Kesehatan,112301,144251,127046,128.50%,113.10%,0,0
10 August 2021,Tenaga Kesehatan,112301,144251,127046,128.50%,113.10%,0,0
11 August 2021,Tenaga Kesehatan,112301,144251,127046,128.50%,113.10%,0,0
