kecamatan,wilayah_kota,target_perkecamatan,target_harian_perkecamatan,date,Cakupan Suntik 1,Keterangan,Cakupan Suntik 2
Cakung,Jakarta Timur,451298,5333,12 June 2021,897,Tidak Tercapai,0
Cempaka Putih,Jakarta Pusat,82144,893,12 June 2021,189,Tidak Tercapai,0
Cengkareng,Jakarta Barat,456111,5041,12 June 2021,429,Tidak Tercapai,1
Cilandak,Jakarta Selatan,184665,2047,12 June 2021,48,Tidak Tercapai,4
Cilincing,Jakarta Utara,340707,4073,12 June 2021,17,Tidak Tercapai,1
Cipayung,Jakarta Timur,232520,2658,12 June 2021,203,Tidak Tercapai,77
Ciracas,Jakarta Timur,252861,2800,12 June 2021,59,Tidak Tercapai,29
Duren Sawit,Jakarta Timur,358527,4006,12 June 2021,7,Tidak Tercapai,4
Gambir,Jakarta Pusat,79504,879,12 June 2021,208,Tidak Tercapai,59
Grogol Petamburan,Jakarta Barat,196274,2095,12 June 2021,842,Tidak Tercapai,199
Jagakarsa,Jakarta Selatan,291101,3291,12 June 2021,39,Tidak Tercapai,2
Jatinegara,Jakarta Timur,262190,3010,12 June 2021,1053,Tidak Tercapai,66
Johar Baru,Jakarta Pusat,114661,1102,12 June 2021,248,Tidak Tercapai,0
Kali Deres,Jakarta Barat,356818,4295,12 June 2021,162,Tidak Tercapai,24
Kebayoran Baru,Jakarta Selatan,129072,1342,12 June 2021,2296,Tidak Tercapai,287
Kebayoran Lama,Jakarta Selatan,266485,3018,12 June 2021,150,Tidak Tercapai,0
Kebon Jeruk,Jakarta Barat,290818,3285,12 June 2021,366,Tidak Tercapai,0
Kelapa Gading,Jakarta Utara,119285,1114,12 June 2021,1237,Tidak Tercapai,30
Kemayoran,Jakarta Pusat,206657,2364,12 June 2021,969,Tidak Tercapai,1
Kembangan,Jakarta Barat,243825,2686,12 June 2021,276,Tidak Tercapai,0
Kep. Seribu Selatan,Kepulauan Seribu,9259,82,12 June 2021,0,Tidak Tercapai,0
Kep. Seribu Utara,Kepulauan Seribu,13038,122,12 June 2021,0,Tidak Tercapai,0
